name,model_name,feature_set,train_window,train_seasons,recency_half_life,train_rows,validation_rows,test_rows,feature_count,decision_threshold,validation_accuracy,validation_balanced_accuracy,validation_f1_weighted,validation_roc_auc,validation_brier_score,validation_selection_metric,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,test_log_loss,test_brier_score,test_selection_metric,majority_class_rate,baseline_accuracy_delta,notes
home_win_all_features_last_2_histgb_l2_010_recency_none,histgb_l2_010,all_features,last_2,"['2425', '2526']",,532,96,228,118,0.4699999999999999,0.7604166666666666,0.758695652173913,0.7598678229882548,0.7969565217391305,0.18581851977550068,0.7703497386656295,0.6578947368421053,0.6578947368421053,0.6577894088669951,0.6806709756848262,0.7150506359321468,0.2417633041416237,0.664711809298655,0.5,0.1578947368421053,
home_win_all_features_last_2_histgb_l2_002_recency_none,histgb_l2_002,all_features,last_2,"['2425', '2526']",,532,96,228,118,0.4699999999999999,0.75,0.748695652173913,0.7496732026143791,0.7904347826086956,0.19159594032714447,0.7613640238704177,0.6359649122807017,0.6359649122807017,0.6353967978729552,0.6892120652508463,0.7340071482708896,0.24336073274431363,0.6518538410105831,0.5,0.13596491228070173,
home_win_form_market_elo_last_2_extra_trees_depth8_recency_none,extra_trees_depth8,form_market_elo,last_2,"['2425', '2526']",,532,96,228,62,0.4599999999999999,0.75,0.7539130434782608,0.7483660130718954,0.7773913043478261,0.19216174762807772,0.7601244671781757,0.5701754385964912,0.5701754385964912,0.565359477124183,0.6782856263465682,0.6248438635479094,0.2189979748252702,0.6018861007006682,0.5,0.07017543859649122,
home_win_no_market_last_2_histgb_l2_002_recency_none,histgb_l2_002,no_market,last_2,"['2425', '2526']",,532,96,228,104,0.43999999999999995,0.75,0.7469565217391304,0.748354541465555,0.7878260869565217,0.18971692566855744,0.7594270942633115,0.618421052631579,0.618421052631579,0.6171764932934477,0.6835949522930133,0.7657402285667623,0.24939878548980163,0.6377865386292896,0.5,0.11842105263157898,
home_win_compact_last_4_histgb_l2_002_recency_1p0,histgb_l2_002,compact,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,37,0.3499999999999999,0.7467811158798283,0.7484492689410722,0.7467811158798283,0.784891448825875,0.19382547044921844,0.7591316999473264,0.631578947368421,0.631578947368421,0.6198793267704032,0.7149122807017544,0.6686965351945335,0.23166425293350462,0.6548240042787185,0.5,0.13157894736842102,
home_win_compact_last_4_histgb_l2_002_recency_2p0,histgb_l2_002,compact,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,37,0.38999999999999996,0.7510729613733905,0.7513291980505096,0.7512014635319736,0.7753655294638901,0.19518426720121068,0.7585209372967433,0.6491228070175439,0.6491228070175439,0.6411426772644999,0.7107571560480148,0.6648205178841734,0.23067649080313554,0.6664160922637286,0.5,0.14912280701754388,
home_win_compact_last_4_histgb_l2_010_recency_4p0,histgb_l2_010,compact,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,37,0.36999999999999994,0.7381974248927039,0.7394402599320632,0.7382842342572047,0.7863683355486637,0.1923103520026167,0.7533452787658146,0.6096491228070176,0.6096491228070176,0.600228530900924,0.7045244690674054,0.6573996091800679,0.22786161630494026,0.6366986378992199,0.5,0.10964912280701755,
home_win_form_market_elo_last_4_histgb_l2_010_recency_1p0,histgb_l2_010,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,62,0.26999999999999996,0.7424892703862661,0.7447570521341014,0.7422900174267271,0.7647319450598139,0.20672567169776287,0.7503794648057089,0.5877192982456141,0.587719298245614,0.5668903079783364,0.6665897199138197,0.6935627121178101,0.24276914174571929,0.608256076205984,0.5,0.08771929824561409,
home_win_compact_last_4_extra_trees_depth8_recency_4p0,extra_trees_depth8,compact,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,37,0.43999999999999995,0.7253218884120172,0.7303943287549846,0.7229006517246861,0.7885098212967065,0.19022298139256547,0.7467049249629565,0.5964912280701754,0.5964912280701755,0.5793695355739152,0.6999846106494305,0.6199983455115258,0.21595288390170597,0.6249709889695131,0.5,0.0964912280701754,
home_win_compact_last_4_extra_trees_depth8_recency_none,extra_trees_depth8,compact,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,37,0.4499999999999999,0.7253218884120172,0.729582041057451,0.7237383782343481,0.7887313543051249,0.1901916103475178,0.7464502856082876,0.6096491228070176,0.6096491228070176,0.596604576267817,0.6987534626038779,0.6212006098665057,0.21650220279303667,0.6344237427651955,0.5,0.10964912280701755,
home_win_market_only_last_2_logistic_l2_c03_recency_none,logistic_l2_c03,market_only,last_2,"['2425', '2526']",,532,96,228,14,0.49999999999999994,0.7291666666666666,0.7339130434782608,0.7263257575757575,0.7765217391304348,0.19307704650520452,0.7455575592885375,0.6052631578947368,0.6052631578947368,0.6045023513992752,0.6764389042782395,0.6363514589289101,0.22474103887711844,0.6265017608354684,0.5,0.10526315789473684,
home_win_form_market_elo_last_4_histgb_l2_010_recency_2p0,histgb_l2_010,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,62,0.4599999999999999,0.7381974248927039,0.7341603898980948,0.7358683336722371,0.7658396101019052,0.20474167932668913,0.7439203475253593,0.6096491228070176,0.6096491228070176,0.6090399398878678,0.6678208679593721,0.6788866198922684,0.23689717268612573,0.6270092689148514,0.5,0.10964912280701755,
home_win_compact_last_4_extra_trees_depth8_recency_1p0,extra_trees_depth8,compact,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,37,0.3999999999999999,0.721030042918455,0.7291389750406143,0.7138233844946457,0.7858514251956875,0.1910866070962779,0.7438553715052411,0.5964912280701754,0.5964912280701754,0.5705863085489682,0.7033702677746998,0.6180043516636824,0.21523137344109705,0.6246692020533516,0.5,0.0964912280701754,
home_win_form_market_elo_last_4_extra_trees_depth8_recency_1p0,extra_trees_depth8,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,62,0.43999999999999995,0.7253218884120172,0.7291758972086841,0.7240947413324813,0.7806084773297889,0.19310387319150898,0.7438434978635853,0.5921052631578947,0.5921052631578947,0.575571969014592,0.6840566328100953,0.6246864874376273,0.21842063896055378,0.6172106799320595,0.5,0.09210526315789469,
home_win_compact_last_4_extra_trees_depth8_recency_2p0,extra_trees_depth8,compact,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,37,0.41999999999999993,0.721030042918455,0.7271082557967804,0.7172658539241012,0.7877713779353124,0.19041361957292932,0.7438308321574382,0.5964912280701754,0.5964912280701754,0.5705863085489682,0.7024469067405356,0.6184797952436919,0.21539225537961115,0.6243921937431024,0.5,0.0964912280701754,
home_win_all_features_last_4_extra_trees_depth8_recency_4p0,extra_trees_depth8,all_features,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,118,0.42999999999999994,0.721030042918455,0.7271082557967804,0.7172658539241012,0.7852606705065722,0.19145934793386737,0.7430776199288162,0.5789473684210527,0.5789473684210527,0.5655763734518895,0.693059402893198,0.6271493047718655,0.21849015050595938,0.6111753295173219,0.5,0.07894736842105265,
home_win_compact_last_4_histgb_l2_002_recency_4p0,histgb_l2_002,compact,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,37,0.35999999999999993,0.7296137339055794,0.7300251070742874,0.7297632479966496,0.7704179589425492,0.2009014973921305,0.7421036837731203,0.6096491228070176,0.6096491228070176,0.5978835978835978,0.6958294859956909,0.6761889541775018,0.23541230749480066,0.6337384030251066,0.5,0.10964912280701755,
home_win_compact_last_4_logistic_l2_c03_recency_4p0,logistic_l2_c03,compact,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,37,0.4499999999999999,0.721030042918455,0.7267021119480136,0.7178204570402505,0.7824545857332743,0.19134163915164873,0.7420956058474274,0.6008771929824561,0.6008771929824561,0.5762168344941686,0.6885195444752231,0.640139900751742,0.22670638993149475,0.623470844657043,0.5,0.10087719298245612,
home_win_market_only_last_4_logistic_l2_c03_recency_2p0,logistic_l2_c03,market_only,last_4,"['2223', '2324', '2425', '2526']",2.0,1292,233,228,14,0.4599999999999999,0.721030042918455,0.7234529611578792,0.7207216354704625,0.7819376753802982,0.18927377543899054,0.7405886765714924,0.6008771929824561,0.6008771929824561,0.5900819915044947,0.6790550938750386,0.6366307473928128,0.22482310250494517,0.6227112830285367,0.5,0.10087719298245612,
