name,model_family,train_rows,test_rows,seasons,accuracy,f1_weighted,log_loss_proxy,recency_half_life,params
current_only_logistic_regression_l2,logistic_regression,152,228,['2526'],0.5087719298245614,0.4926641763733657,1.0253996576489466,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
current_only_random_forest_regularized,random_forest,152,228,['2526'],0.49122807017543857,0.456851718161594,0.9955718669329291,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_2_logistic_regression_l2,logistic_regression,532,228,"['2425', '2526']",0.5219298245614035,0.48016851973152536,0.9608076912495844,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_2_random_forest_regularized,random_forest,532,228,"['2425', '2526']",0.49122807017543857,0.43294401609501026,0.9799119492750336,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_4_logistic_regression_l2,logistic_regression,1292,228,"['2223', '2324', '2425', '2526']",0.5131578947368421,0.46729914314162707,0.9473063081090246,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_4_logistic_regression_l2_recency_1,logistic_regression,1292,228,"['2223', '2324', '2425', '2526']",0.5350877192982456,0.5004790787377366,0.9497024278939504,1.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_4_logistic_regression_l2_recency_2,logistic_regression,1292,228,"['2223', '2324', '2425', '2526']",0.5263157894736842,0.48448330343434726,0.9478660475235511,2.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_4_logistic_regression_l2_recency_4,logistic_regression,1292,228,"['2223', '2324', '2425', '2526']",0.5175438596491229,0.4747700766510201,0.9474407678267485,4.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_4_random_forest_regularized,random_forest,1292,228,"['2223', '2324', '2425', '2526']",0.5087719298245614,0.43175010697475397,0.9627882217948749,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_4_random_forest_regularized_recency_1,random_forest,1292,228,"['2223', '2324', '2425', '2526']",0.4956140350877193,0.43315012623810445,0.9640063252986245,1.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_4_random_forest_regularized_recency_2,random_forest,1292,228,"['2223', '2324', '2425', '2526']",0.5087719298245614,0.4556724996352134,0.9686737700380367,2.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_4_random_forest_regularized_recency_4,random_forest,1292,228,"['2223', '2324', '2425', '2526']",0.5219298245614035,0.46231069413834236,0.9614637821761745,4.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_6_logistic_regression_l2,logistic_regression,2052,228,"['2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.45646318713023354,0.9598501636929783,,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_6_logistic_regression_l2_recency_1,logistic_regression,2052,228,"['2021', '2122', '2223', '2324', '2425', '2526']",0.5394736842105263,0.49560522775611704,0.9496551175914516,1.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_6_logistic_regression_l2_recency_2,logistic_regression,2052,228,"['2021', '2122', '2223', '2324', '2425', '2526']",0.5175438596491229,0.46418162813575997,0.9513149804463796,2.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_6_logistic_regression_l2_recency_4,logistic_regression,2052,228,"['2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.4532009837612554,0.9546711439547111,4.0,"{'regParam': 0.08, 'elasticNetParam': 0.0}"
last_6_random_forest_regularized,random_forest,2052,228,"['2021', '2122', '2223', '2324', '2425', '2526']",0.5131578947368421,0.45306426020936796,0.9660321685156574,,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
last_6_random_forest_regularized_recency_1,random_forest,2052,228,"['2021', '2122', '2223', '2324', '2425', '2526']",0.5,0.4426991468556451,0.9665825565353733,1.0,"{'numTrees': 80, 'maxDepth': 5, 'minInstancesPerNode': 8}"
